event_id,source_rank,source_url,source_domain,source_track,source_ref
pevt_001279,1,https://projects.worldbank.org/en/projects-operations/project-detail/P144102,projects.worldbank.org,external_direct,wb_project:P144102|P161704
pevt_001279,2,https://projects.worldbank.org/en/projects-operations/project-detail/P161704,projects.worldbank.org,external_direct,wb_project:P144102|P161704
pevt_001280,1,https://projects.worldbank.org/en/projects-operations/project-detail/P172868,projects.worldbank.org,external_direct,wb_project:P172868
pevt_001281,1,https://projects.worldbank.org/en/projects-operations/project-detail/P166570,projects.worldbank.org,external_direct,wb_project:P166570|P171339|P174041
pevt_001281,2,https://projects.worldbank.org/en/projects-operations/project-detail/P171339,projects.worldbank.org,external_direct,wb_project:P166570|P171339|P174041
pevt_001281,3,https://projects.worldbank.org/en/projects-operations/project-detail/P174041,projects.worldbank.org,external_direct,wb_project:P166570|P171339|P174041
pevt_001282,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163836,projects.worldbank.org,external_direct,wb_project:P163836
pevt_001283,1,https://projects.worldbank.org/en/projects-operations/project-detail/P171607,projects.worldbank.org,external_direct,wb_project:P171607
pevt_001284,1,https://projects.worldbank.org/en/projects-operations/project-detail/P171305,projects.worldbank.org,external_direct,wb_project:P171305
pevt_001285,1,https://projects.worldbank.org/en/projects-operations/project-detail/P173296,projects.worldbank.org,external_direct,wb_project:P173296
pevt_001286,1,https://projects.worldbank.org/en/projects-operations/project-detail/P146876,projects.worldbank.org,external_direct,wb_project:P146876|P166685
pevt_001286,2,https://projects.worldbank.org/en/projects-operations/project-detail/P166685,projects.worldbank.org,external_direct,wb_project:P146876|P166685
pevt_001287,1,https://projects.worldbank.org/en/projects-operations/project-detail/P175660,projects.worldbank.org,external_direct,wb_project:P175660|P176747
pevt_001287,2,https://projects.worldbank.org/en/projects-operations/project-detail/P176747,projects.worldbank.org,external_direct,wb_project:P175660|P176747
pevt_001288,1,https://projects.worldbank.org/en/projects-operations/project-detail/P145634,projects.worldbank.org,external_direct,wb_project_regional:P145634|P149322
pevt_001288,2,https://projects.worldbank.org/en/projects-operations/project-detail/P149322,projects.worldbank.org,external_direct,wb_project_regional:P145634|P149322
pevt_001289,1,https://projects.worldbank.org/en/projects-operations/project-detail/P155111,projects.worldbank.org,external_direct,wb_project:P155111
pevt_001290,1,https://projects.worldbank.org/en/projects-operations/project-detail/P164414,projects.worldbank.org,external_direct,wb_project:P164414
pevt_001291,1,https://projects.worldbank.org/en/projects-operations/project-detail/P158379,projects.worldbank.org,external_direct,wb_project:P158379|P161312
pevt_001291,2,https://projects.worldbank.org/en/projects-operations/project-detail/P161312,projects.worldbank.org,external_direct,wb_project:P158379|P161312
pevt_001292,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163065,projects.worldbank.org,external_direct,wb_project:P163065|P166941
pevt_001292,2,https://projects.worldbank.org/en/projects-operations/project-detail/P166941,projects.worldbank.org,external_direct,wb_project:P163065|P166941
