event_id,iso3,start_year,end_year,effective_date,policy_name,policy_intensity,source_ref,source_track,evidence_grade,project_id_count,project_ids,source_url_count,primary_source_url,source_domain,has_objective_source,is_external_direct,is_objective_indicator,is_objective_macro,is_ai_inferred,commitment_usd,project_count,assignment_type
pevt_000082,BDI,2020,2020,2020-01-01,energy_transition,0.7022415986437877,wb_project:P164435,external_direct,A,1,P164435,1,https://projects.worldbank.org/en/projects-operations/project-detail/P164435,projects.worldbank.org,1,1,0,0,0,100000000.0,1.0,explicit
pevt_000083,BDI,2020,2020,2020-01-01,urban_mobility,0.7691524292518085,wb_project:P169315|P173845,external_direct,A,2,P169315|P173845,2,https://projects.worldbank.org/en/projects-operations/project-detail/P169315,projects.worldbank.org,1,1,0,0,0,65000000.0,2.0,explicit
pevt_000084,BDI,2021,2021,2021-01-01,innovation_industry,0.6937348184362908,wb_project:P164416,external_direct,A,1,P164416,1,https://projects.worldbank.org/en/projects-operations/project-detail/P164416,projects.worldbank.org,1,1,0,0,0,80000000.0,1.0,explicit
pevt_000085,BDI,2021,2021,2021-01-01,urban_services,0.717698924416629,wb_project:P175327,external_direct,A,1,P175327,1,https://projects.worldbank.org/en/projects-operations/project-detail/P175327,projects.worldbank.org,1,1,0,0,0,150000000.0,1.0,explicit
pevt_000086,BDI,2022,2022,2022-01-01,urban_mobility,0.7091921441773633,wb_project:P172988,external_direct,A,1,P172988,1,https://projects.worldbank.org/en/projects-operations/project-detail/P172988,projects.worldbank.org,1,1,0,0,0,120000000.0,1.0,explicit
pevt_000087,BDI,2023,2023,2023-01-01,urban_mobility,0.7022415986437877,wb_project:P177688,external_direct,A,1,P177688,1,https://projects.worldbank.org/en/projects-operations/project-detail/P177688,projects.worldbank.org,1,1,0,0,0,100000000.0,1.0,explicit
pevt_000088,BDI,2024,2024,2024-01-01,energy_transition,0.9166666666666666,wb_project:P180925|P181410|P181494,external_direct,A,3,P180925|P181410|P181494,3,https://projects.worldbank.org/en/projects-operations/project-detail/P180925,projects.worldbank.org,1,1,0,0,0,350000000.0,3.0,explicit
pevt_000089,BDI,2024,2024,2024-01-01,urban_services,0.9765094708669156,wb_project:P171745|P177146|P180864|P504531,external_direct,A,4,P171745|P177146|P180864|P504531,4,https://projects.worldbank.org/en/projects-operations/project-detail/P171745,projects.worldbank.org,1,1,0,0,0,189000000.0,4.0,explicit
pevt_000090,BEL,2015,2015,2015-01-01,climate_resilience,0.4113294060921623,wb_project_regional:P151363,external_direct,A,1,P151363,1,https://projects.worldbank.org/en/projects-operations/project-detail/P151363,projects.worldbank.org,1,1,0,0,0,38000000.0,1.0,regional
pevt_000091,BEL,2015,2015,2015-01-01,urban_mobility,0.4524401560760929,wb_project_regional:P145634,external_direct,A,1,P145634,1,https://projects.worldbank.org/en/projects-operations/project-detail/P145634,projects.worldbank.org,1,1,0,0,0,45000000.0,1.0,regional
pevt_000092,BEL,2020,2020,2020-01-01,urban_services,0.7141024456932054,wb_project_regional:P166820,external_direct,A,1,P166820,1,https://projects.worldbank.org/en/projects-operations/project-detail/P166820,projects.worldbank.org,1,1,0,0,0,132000000.0,1.0,regional
pevt_000093,BEL,2022,2022,2022-01-01,innovation_industry,0.75,wb_project_regional:P174135,external_direct,A,1,P174135,1,https://projects.worldbank.org/en/projects-operations/project-detail/P174135,projects.worldbank.org,1,1,0,0,0,153000000.0,1.0,regional
pevt_000094,BEL,2023,2023,2023-01-01,energy_transition,0.598110981773241,wb_project_regional:P181218|P181219,external_direct,A,2,P181218|P181219,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181218,projects.worldbank.org,1,1,0,0,0,29300000.0,2.0,regional
pevt_000095,BEL,2024,2024,2024-01-01,climate_resilience,0.4524401560760929,wb_project_regional:P177407,external_direct,A,1,P177407,1,https://projects.worldbank.org/en/projects-operations/project-detail/P177407,projects.worldbank.org,1,1,0,0,0,45000000.0,1.0,regional
pevt_000096,BFA,2015,2015,2015-01-01,urban_services,0.9622435687852312,wb_project:P148062|P149556,external_direct,A,2,P148062|P149556,2,https://projects.worldbank.org/en/projects-operations/project-detail/P148062,projects.worldbank.org,1,1,0,0,0,130000000.0,2.0,explicit
pevt_000097,BFA,2017,2017,2017-01-01,urban_mobility,0.9437348184362908,wb_project:P156892|P159476,external_direct,A,2,P156892|P159476,2,https://projects.worldbank.org/en/projects-operations/project-detail/P156892,projects.worldbank.org,1,1,0,0,0,80000000.0,2.0,explicit
pevt_000098,BFA,2018,2018,2018-01-01,institutional_reform,0.9625356963150274,wb_project:P164078|P164696,external_direct,A,2,P164078|P164696,2,https://projects.worldbank.org/en/projects-operations/project-detail/P164078,projects.worldbank.org,1,1,0,0,0,131000000.0,2.0,explicit
pevt_000099,BFA,2018,2018,2018-01-01,urban_mobility,0.9591921441773632,wb_project:P161234|P164293,external_direct,A,2,P161234|P164293,2,https://projects.worldbank.org/en/projects-operations/project-detail/P161234,projects.worldbank.org,1,1,0,0,0,120000000.0,2.0,explicit
